radius_m,trim_minutes,points_before,points_after,removed_points,removed_pct,removed_start_or_time,removed_end_or_time,green_segments
50,0,175830,130363,45467,25.858499687197863,64,45403,37
50,1,175830,130363,45467,25.858499687197863,83,45403,37
50,2,175830,130363,45467,25.858499687197863,113,45403,37
50,3,175830,130363,45467,25.858499687197863,143,45403,37
50,5,175830,130363,45467,25.858499687197863,203,45403,37
80,0,175830,130128,45702,25.99215150998123,118,45585,32
80,1,175830,130128,45702,25.99215150998123,137,45585,32
80,2,175830,130128,45702,25.99215150998123,167,45585,32
80,3,175830,130128,45702,25.99215150998123,197,45585,32
80,5,175830,130128,45702,25.99215150998123,257,45585,32
120,0,175830,129891,45939,26.126940795086163,490,45797,43
120,1,175830,129891,45939,26.126940795086163,509,45797,43
120,2,175830,129891,45939,26.126940795086163,539,45797,43
120,3,175830,129891,45939,26.126940795086163,569,45797,43
120,5,175830,129891,45939,26.126940795086163,629,45797,43
150,0,175830,129599,46231,26.29301029403401,31673,45989,32
150,1,175830,129599,46231,26.29301029403401,31674,45989,32
150,2,175830,129599,46231,26.29301029403401,31685,45989,32
150,3,175830,129599,46231,26.29301029403401,31685,45989,32
150,5,175830,129599,46231,26.29301029403401,31685,45989,32
200,0,175830,129348,46482,26.435761815389863,46402,46161,31
200,1,175830,129348,46482,26.435761815389863,46402,46161,31
200,2,175830,129348,46482,26.435761815389863,46402,46161,31
200,3,175830,129348,46482,26.435761815389863,46402,46161,31
200,5,175830,129348,46482,26.435761815389863,46402,46161,31
