CLUSTER_ID,N_TRAJECTORIES,N_USERS,AVG_POINTS,AVG_CELLS,START_CELL,END_CELL
3,1262,182,691.797147385103,16.513470681458003,15536:483,15534:482
99,26,14,1279.1923076923076,46.03846153846154,15554:491,15530:483
90,40,13,818.3,26.475,15563:483,15513:485
151,13,7,502.3076923076923,9.538461538461538,15547:496,15547:496
102,15,6,307.06666666666666,6.733333333333333,15534:474,15534:474
240,11,5,377.8181818181818,10.818181818181818,15545:502,15543:488
203,10,5,347.1,10.0,15543:499,15542:498
0,9,5,457.44444444444446,7.444444444444445,15534:482,15532:468
274,8,5,462.5,6.75,15531:495,15531:497
84,5,5,395.4,8.0,15543:496,15541:490
387,19,4,883.421052631579,40.94736842105263,15524:514,15539:492
130,9,4,645.5555555555555,29.555555555555557,15544:487,15547:485
414,9,4,864.2222222222222,22.666666666666668,15537:492,15547:499
285,7,4,505.42857142857144,7.428571428571429,15543:485,15544:486
767,6,4,1191.0,30.666666666666668,15534:474,15546:473
333,5,4,562.2,7.8,15535:478,15535:476
283,4,4,677.25,11.0,15543:486,15543:485
419,4,3,1089.5,50.75,15542:481,15532:453
184,4,3,763.75,21.75,15540:492,15534:481
449,3,3,862.3333333333334,12.666666666666666,15544:490,15544:485
30,3,3,828.3333333333334,8.333333333333334,15532:501,15532:502
608,10,2,1837.4,110.6,15527:471,15546:521
960,10,2,2233.8,54.2,15522:507,15554:485
784,7,2,332.85714285714283,9.142857142857142,15528:481,15528:482
343,6,2,605.0,33.0,15550:514,15498:493
600,6,2,573.6666666666666,11.5,15551:497,15550:490
29,5,2,874.0,26.0,15528:506,15532:502
199,5,2,351.8,8.0,15539:501,15536:502
1089,4,2,1289.25,91.0,15549:489,15532:552
1008,4,2,768.5,41.25,15529:475,15534:539
103,4,2,549.5,12.0,15534:474,15531:471
495,4,2,519.75,10.0,15545:483,15545:482
146,4,2,369.75,8.25,15544:475,15543:475
936,3,2,1393.3333333333333,64.0,15550:461,15527:486
443,3,2,776.0,51.0,15528:493,15503:493
615,3,2,400.3333333333333,10.0,15544:484,15550:484
855,3,2,218.66666666666666,10.0,15547:487,15560:479
512,3,2,525.6666666666666,8.0,15543:490,15547:488
1138,3,2,256.0,7.666666666666667,15526:477,15528:480
105,3,2,414.6666666666667,7.0,15534:474,15534:474
