threshold,candidate_edges,clusters_total,singletons,collective_clusters,trajectories_in_collective,collective_coverage_pct,largest_cluster_trajectories,largest_cluster_users,largest_collective_trajectories,largest_collective_users,avg_collective_users
0.25,4430,513,463,8,939,61.25,910,98,910,98,14.62
0.3,3017,602,528,15,835,54.47,735,92,735,92,8.73
0.35,2113,699,592,25,702,45.79,517,83,517,83,6.6
0.38,1734,777,647,38,610,39.79,233,51,233,51,5.63
0.4,1552,832,690,37,552,36.01,165,42,165,42,5.46
0.42,1334,900,747,44,471,30.72,71,18,71,18,4.57
0.45,1140,965,801,43,382,24.92,61,13,61,13,3.81
0.48,941,1029,860,43,318,20.74,54,13,54,13,3.21
0.5,913,1039,870,43,311,20.29,54,13,54,13,3.14
0.55,648,1152,987,29,175,11.42,21,5,21,5,2.79
0.6,533,1205,1044,19,102,6.65,12,4,12,4,2.53
