Unnamed: 0.1,Unnamed: 0,KEY,ID,Day_GMS,Date_GMS,Day_Type,ID_Trip_Days,Type_Trip_OD,Area_O,Area_D,Code_INSEE_O,Code_INSEE_D,Zone_O,Zone_D,Date_O,Time_O,Date_D,Time_D,Duration,Purpose_O,Purpose_D,Main_Mode,Mode_1,Mode_2,Mode_3,Mode_4,Mode_5,Weight_Day
83,83,42_0007-lundi-44851-1,42_0007,Monday,2022-10-17,Normal,1,Internal,PARIS-3E-ARRONDISSEMENT,PARIS-1ER-ARRONDISSEMENT,75103,75101,PARIS,PARIS,2022-10-17,10:38:00,2022-10-17,10:48:00,10.0,DEPART_HOME,PURCHASE,WALKING,WALKING,,,,,228.49553355
84,84,42_0007-lundi-44851-2,42_0007,Monday,2022-10-17,Normal,2,Internal,PARIS-1ER-ARRONDISSEMENT,PARIS-3E-ARRONDISSEMENT,75101,75103,PARIS,PARIS,2022-10-17,10:49:00,2022-10-17,10:59:00,10.0,PURCHASE,RETURN_HOME,WALKING,WALKING,,,,,228.49553355
85,85,42_0007-lundi-44851-3,42_0007,Monday,2022-10-17,Normal,3,Internal,PARIS-3E-ARRONDISSEMENT,PARIS-1ER-ARRONDISSEMENT,75103,75101,PARIS,PARIS,2022-10-17,18:00:00,2022-10-17,18:10:00,10.0,DEPART_HOME,PURCHASE,WALKING,WALKING,,,,,228.49553355
86,86,42_0007-lundi-44851-4,42_0007,Monday,2022-10-17,Normal,4,Internal,PARIS-1ER-ARRONDISSEMENT,PARIS-3E-ARRONDISSEMENT,75101,75103,PARIS,PARIS,2022-10-17,18:15:00,2022-10-17,18:25:00,10.0,PURCHASE,RETURN_HOME,WALKING,WALKING,,,,,228.49553355
87,87,42_0007-mardi-44852-1,42_0007,Tuesday,2022-10-18,Normal,1,Internal,PARIS-3E-ARRONDISSEMENT,SAINT-CLOUD,75103,92064,PARIS,IS,2022-10-18,09:30:00,2022-10-18,10:41:00,71.0,DEPART_HOME,WORK,TRAIN,TRAIN,,,,,231.04167427
88,88,42_0007-mardi-44852-2,42_0007,Tuesday,2022-10-18,Normal,2,Internal,SAINT-CLOUD,SAINT-CLOUD,92064,92064,IS,IS,2022-10-18,12:25:00,2022-10-18,12:40:00,15.0,WORK,PURCHASE,WALKING,WALKING,,,,,231.04167427
89,89,42_0007-mardi-44852-3,42_0007,Tuesday,2022-10-18,Normal,3,Internal,SAINT-CLOUD,SAINT-CLOUD,92064,92064,IS,IS,2022-10-18,13:18:00,2022-10-18,13:33:00,15.0,PURCHASE,WORK,WALKING,WALKING,,,,,231.04167427
90,90,42_0007-mardi-44852-4,42_0007,Tuesday,2022-10-18,Normal,4,Internal,SAINT-CLOUD,PARIS-3E-ARRONDISSEMENT,92064,75103,IS,PARIS,2022-10-18,18:50:00,2022-10-18,19:26:00,36.0,WORK,RETURN_HOME,TRAIN,TRAMWAY,TRAIN,,,,231.04167427
91,91,42_0007-mercredi-44853-1,42_0007,Wednesday,2022-10-19,Normal,1,Internal,SAINT-CLOUD,SAINT-CLOUD,92064,92064,IS,IS,2022-10-19,09:15:00,2022-10-19,10:12:00,57.0,DEPART_HOME,WORK,TRAIN,TRAIN,TRAIN,,,,220.36755681
92,92,42_0007-mercredi-44853-2,42_0007,Wednesday,2022-10-19,Normal,2,Internal,SAINT-CLOUD,PARIS-1ER-ARRONDISSEMENT,92064,75101,IS,PARIS,2022-10-19,19:18:00,2022-10-19,19:46:00,28.0,WORK,RETURN_HOME,TRAIN,TRAMWAY,TRAIN,,,,220.36755681
93,93,42_0007-mercredi-44853-3,42_0007,Wednesday,2022-10-19,Normal,3,Internal,PARIS-1ER-ARRONDISSEMENT,PARIS-1ER-ARRONDISSEMENT,75101,75101,PARIS,PARIS,2022-10-19,20:15:00,2022-10-19,20:20:00,5.0,DEPART_HOME,LEISURE,WALKING,WALKING,,,,,220.36755681
94,94,42_0007-mercredi-44853-4,42_0007,Wednesday,2022-10-19,Normal,4,Internal,PARIS-1ER-ARRONDISSEMENT,PARIS-1ER-ARRONDISSEMENT,75101,75101,PARIS,PARIS,2022-10-19,21:00:00,2022-10-19,21:05:00,5.0,LEISURE,RETURN_HOME,WALKING,WALKING,,,,,220.36755681
95,95,42_0007-jeudi-44854-PDT,42_0007,Thursday,2022-10-20,Normal,No_Traces,,,,,,,,,,,,,,,,,,,,,0.0
96,96,42_0007-vendredi-44855-1,42_0007,Friday,2022-10-21,Normal,1,Internal,PARIS-3E-ARRONDISSEMENT,PARIS-14E-ARRONDISSEMENT,75103,75114,PARIS,PARIS,2022-10-21,08:41:00,2022-10-21,09:05:00,24.0,DEPART_HOME,HEALTH,TRAIN,TRAIN,,,,,224.22944662
97,97,42_0007-vendredi-44855-2,42_0007,Friday,2022-10-21,Normal,2,Internal,PARIS-14E-ARRONDISSEMENT,PARIS-3E-ARRONDISSEMENT,75114,75103,PARIS,PARIS,2022-10-21,09:52:00,2022-10-21,10:12:00,20.0,HEALTH,RETURN_HOME,TRAIN,TRAIN,,,,,224.22944662
98,98,42_0007-vendredi-44855-3,42_0007,Friday,2022-10-21,Normal,3,Internal,PARIS-3E-ARRONDISSEMENT,PARIS-3E-ARRONDISSEMENT,75103,75103,PARIS,PARIS,2022-10-21,16:30:00,2022-10-21,16:35:00,5.0,DEPART_HOME,PURCHASE,WALKING,WALKING,,,,,224.22944662
99,99,42_0007-vendredi-44855-4,42_0007,Friday,2022-10-21,Normal,4,Internal,PARIS-3E-ARRONDISSEMENT,PARIS-3E-ARRONDISSEMENT,75103,75103,PARIS,PARIS,2022-10-21,17:10:00,2022-10-21,17:15:00,5.0,PURCHASE,RETURN_HOME,WALKING,WALKING,,,,,224.22944662
100,100,42_0007-vendredi-44855-5,42_0007,Friday,2022-10-21,Normal,5,Internal,PARIS-3E-ARRONDISSEMENT,PARIS-2E-ARRONDISSEMENT,75103,75102,PARIS,PARIS,2022-10-21,19:45:00,2022-10-21,19:55:00,10.0,DEPART_HOME,LEISURE,WALKING,WALKING,,,,,224.22944662
101,101,42_0007-vendredi-44855-6,42_0007,Friday,2022-10-21,Normal,6,Internal,PARIS-2E-ARRONDISSEMENT,PARIS-3E-ARRONDISSEMENT,75102,75103,PARIS,PARIS,2022-10-21,22:24:00,2022-10-21,22:31:00,7.0,LEISURE,RETURN_HOME,WALKING,WALKING,,,,,224.22944662
102,102,42_0007-samedi-44856-1,42_0007,Saturday,2022-10-22,School holiday,1,Internal,PARIS-3E-ARRONDISSEMENT,PARIS-3E-ARRONDISSEMENT,75103,75103,PARIS,PARIS,2022-10-22,15:11:00,2022-10-22,15:47:00,36.0,DEPART_HOME,PURCHASE,WALKING,WALKING,,,,,282.42166137
103,103,42_0007-samedi-44856-2,42_0007,Saturday,2022-10-22,School holiday,2,Internal,PARIS-3E-ARRONDISSEMENT,PARIS-11E-ARRONDISSEMENT,75103,75111,PARIS,PARIS,2022-10-22,16:23:00,2022-10-22,16:28:00,5.0,PURCHASE,PURCHASE,WALKING,WALKING,,,,,282.42166137
104,104,42_0007-samedi-44856-3,42_0007,Saturday,2022-10-22,School holiday,3,Internal,PARIS-11E-ARRONDISSEMENT,PARIS-3E-ARRONDISSEMENT,75111,75103,PARIS,PARIS,2022-10-22,16:52:00,2022-10-22,17:11:00,19.0,PURCHASE,LEISURE,WALKING,WALKING,,,,,282.42166137
105,105,42_0007-samedi-44856-4,42_0007,Saturday,2022-10-22,School holiday,4,Internal,PARIS-3E-ARRONDISSEMENT,PARIS-3E-ARRONDISSEMENT,75103,75103,PARIS,PARIS,2022-10-22,18:30:00,2022-10-22,18:50:00,20.0,LEISURE,RETURN_HOME,WALKING,WALKING,,,,,282.42166137
106,106,42_0007-dimanche-44857-1,42_0007,Sunday,2022-10-23,School holiday,1,Internal,PARIS-3E-ARRONDISSEMENT,PARIS-4E-ARRONDISSEMENT,75103,75104,PARIS,PARIS,2022-10-23,12:26:00,2022-10-23,12:36:00,10.0,DEPART_HOME,PURCHASE,WALKING,WALKING,,,,,272.08699986
107,107,42_0007-dimanche-44857-2,42_0007,Sunday,2022-10-23,School holiday,2,Internal,PARIS-4E-ARRONDISSEMENT,PARIS-3E-ARRONDISSEMENT,75104,75103,PARIS,PARIS,2022-10-23,12:42:00,2022-10-23,12:52:00,10.0,PURCHASE,RETURN_HOME,WALKING,WALKING,,,,,272.08699986
108,108,42_0008-lundi-44851-1,42_0008,Monday,2022-10-17,Normal,1,Internal,PARIS-3E-ARRONDISSEMENT,PARIS-9E-ARRONDISSEMENT,75103,75109,PARIS,PARIS,2022-10-17,08:38:00,2022-10-17,08:50:00,12.0,DEPART_HOME,HEALTH,BIKE,BIKE,,,,,113.24049608
109,109,42_0008-lundi-44851-2,42_0008,Monday,2022-10-17,Normal,2,Internal,PARIS-9E-ARRONDISSEMENT,PARIS-10E-ARRONDISSEMENT,75109,75110,PARIS,PARIS,2022-10-17,10:51:00,2022-10-17,10:55:00,4.0,HEALTH,PURCHASE,BIKE,BIKE,,,,,113.24049608
110,110,42_0008-lundi-44851-3,42_0008,Monday,2022-10-17,Normal,3,Internal,PARIS-10E-ARRONDISSEMENT,PARIS-3E-ARRONDISSEMENT,75110,75103,PARIS,PARIS,2022-10-17,11:59:00,2022-10-17,12:10:00,11.0,PURCHASE,RETURN_HOME,BIKE,BIKE,,,,,113.24049608
111,111,42_0008-lundi-44851-4,42_0008,Monday,2022-10-17,Normal,4,Internal,PARIS-3E-ARRONDISSEMENT,PARIS-10E-ARRONDISSEMENT,75103,75110,PARIS,PARIS,2022-10-17,16:09:00,2022-10-17,16:21:00,12.0,DEPART_HOME,PURCHASE,WALKING,WALKING,,,,,113.24049608
112,112,42_0008-lundi-44851-5,42_0008,Monday,2022-10-17,Normal,5,Internal,PARIS-10E-ARRONDISSEMENT,PARIS-3E-ARRONDISSEMENT,75110,75103,PARIS,PARIS,2022-10-17,17:02:00,2022-10-17,17:14:00,12.0,PURCHASE,RETURN_HOME,WALKING,WALKING,,,,,113.24049608
113,113,42_0008-mardi-44852-1,42_0008,Tuesday,2022-10-18,Normal,1,Internal,PARIS-3E-ARRONDISSEMENT,PARIS-14E-ARRONDISSEMENT,75103,75114,PARIS,PARIS,2022-10-18,11:02:00,2022-10-18,11:52:00,50.0,DEPART_HOME,HEALTH,TRAIN,TRAIN,,,,,114.54969889
