Unnamed: 0.1,Unnamed: 0,ID,CODGEO,AREA_NAME,SEX,AGE,DIPLOMA,PRO_CAT,TYPE_HOUSE,NBPERS_HOUSE,NB_10,NB_11_17,NB_18_24,NB_25_64,NB_65,PMR,DRIVING_LICENCE,NB_CAR,TWO_WHEELER,BIKE,ELECT_SCOOTER,NAVIGO_SUB,IMAGINER_SUB,OTHER_SUB_PT,BIKE_SUB,NSM_SUB,WEIGHT_INDIV
12,12,10_2994,75115,Paris,Man,44,,2,In a couple with child(ren),3,0,1.0,0.0,2,0,False,True,0,1,0,0,True,False,False,False,True,3936.4098434
33,33,10_3024,92046,Malakoff,Man,22,"3–4-year higher education degree: Licence, Professional Licence, Master 1, or equivalent",7,Not related to other household members,5,0,0.0,2.0,3,0,False,True,0,0,0,0,False,True,False,True,False,1242.8197525
54,54,10_3050,75112,Paris,Woman,41,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",3,Living alone,1,0,0.0,0.0,1,0,False,True,0,0,0,0,True,False,False,False,False,1619.4797582
67,67,10_3067,75112,Paris,Man,23,"3–4-year higher education degree: Licence, Professional Licence, Master 1, or equivalent",4,Living alone,1,0,0.0,0.0,0,0,False,True,0,0,0,0,False,True,False,False,False,1000.0810595
71,71,10_3074,75120,Paris,Man,28,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,In a couple without children,2,0,0.0,1.0,1,0,False,True,0,0,0,0,True,False,False,False,False,2742.1303401
80,80,10_3086,75116,Paris,Man,18,Upper secondary diploma (Baccalauréat) or equivalent,7,Living alone,1,0,0.0,0.0,0,0,False,True,0,0,1,0,False,False,False,False,False,2547.898829
92,92,10_3102,75117,Paris,Man,20,"3–4-year higher education degree: Licence, Professional Licence, Master 1, or equivalent",7,In a couple without children,2,0,0.0,2.0,0,0,False,False,0,0,0,0,False,True,False,True,False,1489.6559194
108,108,10_3122,75110,Paris,Man,62,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,In a couple without children,1,0,0.0,0.0,1,0,False,True,0,0,1,0,True,True,False,True,False,847.90373965
111,111,10_3125,75110,Paris,Man,47,"3–4-year higher education degree: Licence, Professional Licence, Master 1, or equivalent",3,In a couple without children,1,0,0.0,0.0,1,0,False,True,0,0,0,0,True,False,False,True,False,1210.1594184
147,147,10_3173,75111,Paris,Man,23,"3–4-year higher education degree: Licence, Professional Licence, Master 1, or equivalent",7,In a couple without children,2,0,0.0,2.0,0,0,False,True,0,0,1,0,False,True,False,True,False,1489.6559194
